Time,DecimalCode
1.571589e-08,17
3.532373e-08,17
5.493157e-08,19
7.453942e-08,21
9.414726e-08,21
1.137551e-07,23
1.333629e-07,24
1.529708e-07,25
1.725786e-07,26
1.921865e-07,27
2.117943e-07,27
2.314022e-07,28
2.510100e-07,28
2.706178e-07,28
2.902257e-07,28
3.098335e-07,28
3.294414e-07,28
3.490492e-07,28
3.686571e-07,28
3.882649e-07,28
4.078728e-07,28
4.274806e-07,28
4.470884e-07,28
4.666963e-07,28
4.863041e-07,28
5.059120e-07,28
5.255198e-07,28
5.451277e-07,28
5.647355e-07,28
5.843433e-07,28
6.039512e-07,27
6.235590e-07,25
6.431669e-07,25
6.627747e-07,23
6.823826e-07,22
7.019904e-07,21
7.215982e-07,20
7.412061e-07,18
7.608139e-07,18
7.804218e-07,16
8.000296e-07,14
8.196375e-07,14
8.392453e-07,12
8.588531e-07,11
8.784610e-07,10
8.980688e-07,8
9.176767e-07,8
9.372845e-07,6
9.568924e-07,5
9.765002e-07,5
9.961080e-07,4
1.015716e-06,3
1.035324e-06,2
1.054932e-06,1
1.074539e-06,1
1.094147e-06,1
1.113755e-06,1
1.133363e-06,0
1.152971e-06,0
1.172579e-06,0
1.192186e-06,0
1.211794e-06,1
1.231402e-06,1
1.251010e-06,1
1.270618e-06,1
1.290226e-06,2
1.309834e-06,3
1.329441e-06,3
1.349049e-06,5
1.368657e-06,5
1.388265e-06,6
1.407873e-06,7
1.427481e-06,8
1.447088e-06,10
1.466696e-06,10
1.486304e-06,12
1.505912e-06,13
1.525520e-06,14
1.545128e-06,16
1.564735e-06,17
1.584343e-06,18
1.603951e-06,19
1.623559e-06,21
1.643167e-06,22
1.662775e-06,23
1.682383e-06,24
1.701990e-06,25
1.721598e-06,26
1.741206e-06,27
1.760814e-06,28
1.780422e-06,28
1.800030e-06,28
1.819637e-06,28
1.839245e-06,28
1.858853e-06,28
1.878461e-06,28
1.898069e-06,28
1.917677e-06,28
1.937285e-06,28
1.956892e-06,28
1.976500e-06,28
1.996108e-06,28
2.015716e-06,28
2.035324e-06,28
2.054932e-06,28
2.074539e-06,28
2.094147e-06,28
2.113755e-06,28
2.133363e-06,28
2.152971e-06,26
2.172579e-06,26
2.192186e-06,24
2.211794e-06,23
2.231402e-06,22
2.251010e-06,20
2.270618e-06,20
2.290226e-06,18
2.309834e-06,17
2.329441e-06,16
2.349049e-06,14
2.368657e-06,13
2.388265e-06,12
2.407873e-06,11
2.427481e-06,9
2.447088e-06,9
2.466696e-06,7
2.486304e-06,6
2.505912e-06,5
2.525520e-06,4
2.545128e-06,4
2.564735e-06,3
2.584343e-06,2
2.603951e-06,1
2.623559e-06,1
2.643167e-06,1
2.662775e-06,1
2.682383e-06,0
2.701990e-06,0
2.721598e-06,0
2.741206e-06,0
2.760814e-06,1
2.780422e-06,1
2.800030e-06,1
2.819637e-06,2
2.839245e-06,2
2.858853e-06,3
2.878461e-06,3
2.898069e-06,5
2.917677e-06,5
2.937285e-06,6
2.956892e-06,8
2.976500e-06,8
2.996108e-06,10
3.015716e-06,11
3.035324e-06,12
3.054932e-06,13
3.074539e-06,15
3.094147e-06,16
3.113755e-06,17
3.133363e-06,18
3.152971e-06,20
3.172579e-06,21
3.192186e-06,22
3.211794e-06,23
3.231402e-06,24
3.251010e-06,26
3.270618e-06,26
3.290226e-06,27
3.309834e-06,28
3.329441e-06,28
3.349049e-06,28
3.368657e-06,28
3.388265e-06,28
3.407873e-06,28
3.427481e-06,28
3.447088e-06,28
3.466696e-06,28
3.486304e-06,28
3.505912e-06,28
3.525520e-06,28
3.545128e-06,28
3.564735e-06,28
3.584343e-06,28
3.603951e-06,28
3.623559e-06,28
3.643167e-06,28
3.662775e-06,28
3.682383e-06,28
3.701990e-06,26
3.721598e-06,25
3.741206e-06,24
3.760814e-06,23
3.780422e-06,21
3.800030e-06,21
3.819637e-06,19
3.839245e-06,18
3.858853e-06,16
3.878461e-06,16
3.898069e-06,14
3.917677e-06,13
3.937285e-06,11
3.956892e-06,11
3.976500e-06,9
3.996108e-06,8
4.015716e-06,7
4.035324e-06,6
4.054932e-06,5
4.074539e-06,4
4.094147e-06,3
4.113755e-06,3
4.133363e-06,2
4.152971e-06,1
4.172579e-06,1
4.192186e-06,1
4.211794e-06,0
4.231402e-06,0
4.251010e-06,0
4.270618e-06,0
4.290226e-06,0
4.309834e-06,1
4.329441e-06,1
4.349049e-06,1
4.368657e-06,2
4.388265e-06,2
4.407873e-06,3
4.427481e-06,4
4.447088e-06,5
4.466696e-06,5
4.486304e-06,7
4.505912e-06,8
4.525520e-06,8
4.545128e-06,10
4.564735e-06,12
4.584343e-06,12
4.603951e-06,13
4.623559e-06,15
4.643167e-06,17
4.662775e-06,17
4.682383e-06,19
4.701990e-06,20
4.721598e-06,21
4.741206e-06,22
4.760814e-06,24
4.780422e-06,24
4.800030e-06,26
4.819637e-06,26
4.839245e-06,28
4.858853e-06,28
4.878461e-06,28
4.898069e-06,28
4.917677e-06,28
4.937285e-06,28
4.956892e-06,28
4.976500e-06,28
4.996108e-06,28
5.015716e-06,28
5.035324e-06,28
5.054932e-06,28
5.074539e-06,28
5.094147e-06,28
5.113755e-06,28
5.133363e-06,28
5.152971e-06,28
5.172579e-06,28
5.192186e-06,28
5.211794e-06,28
5.231402e-06,27
5.251010e-06,26
5.270618e-06,25
5.290226e-06,24
5.309834e-06,22
5.329441e-06,22
5.349049e-06,20
5.368657e-06,19
5.388265e-06,17
5.407873e-06,16
5.427481e-06,16
5.447088e-06,13
5.466696e-06,13
5.486304e-06,11
5.505912e-06,10
5.525520e-06,9
5.545128e-06,8
5.564735e-06,7
5.584343e-06,6
5.603951e-06,4
5.623559e-06,4
5.643167e-06,3
5.662775e-06,3
5.682383e-06,2
5.701990e-06,1
5.721598e-06,1
5.741206e-06,0
5.760814e-06,1
5.780422e-06,0
5.800030e-06,0
5.819637e-06,0
5.839245e-06,0
5.858853e-06,1
5.878461e-06,1
5.898069e-06,2
5.917677e-06,2
5.937285e-06,2
5.956892e-06,3
5.976500e-06,4
5.996108e-06,5
6.015716e-06,6
6.035324e-06,7
6.054932e-06,8
6.074539e-06,9
6.094147e-06,10
6.113755e-06,11
6.133363e-06,13
6.152971e-06,14
6.172579e-06,15
6.192186e-06,16
6.211794e-06,18
6.231402e-06,19
6.251010e-06,20
6.270618e-06,22
6.290226e-06,22
6.309834e-06,24
6.329441e-06,25
6.349049e-06,26
6.368657e-06,27
6.388265e-06,27
6.407873e-06,28
6.427481e-06,28
6.447088e-06,28
6.466696e-06,28
6.486304e-06,28
6.505912e-06,28
6.525520e-06,28
6.545128e-06,28
6.564735e-06,28
6.584343e-06,28
6.603951e-06,28
6.623559e-06,28
6.643167e-06,28
6.662775e-06,28
6.682383e-06,28
6.701990e-06,28
6.721598e-06,28
6.741206e-06,28
6.760814e-06,28
6.780422e-06,27
6.800030e-06,26
6.819637e-06,24
6.839245e-06,24
6.858853e-06,22
6.878461e-06,21
6.898069e-06,20
6.917677e-06,18
6.937285e-06,18
6.956892e-06,16
6.976500e-06,14
6.996108e-06,14
7.015716e-06,12
7.035324e-06,11
7.054932e-06,10
7.074539e-06,9
7.094147e-06,7
7.113755e-06,7
7.133363e-06,5
7.152971e-06,5
7.172579e-06,4
7.192186e-06,3
7.211794e-06,2
7.231402e-06,1
7.251010e-06,2
7.270618e-06,0
7.290226e-06,1
7.309834e-06,0
7.329441e-06,0
7.349049e-06,0
7.368657e-06,0
7.388265e-06,1
7.407873e-06,1
7.427481e-06,1
7.447088e-06,1
7.466696e-06,2
7.486304e-06,3
7.505912e-06,3
7.525520e-06,4
7.545128e-06,5
7.564735e-06,6
7.584343e-06,7
7.603951e-06,9
7.623559e-06,9
7.643167e-06,10
7.662775e-06,12
7.682383e-06,13
7.701990e-06,14
7.721598e-06,16
7.741206e-06,16
7.760814e-06,18
7.780422e-06,20
7.800030e-06,20
7.819637e-06,22
7.839245e-06,23
7.858853e-06,24
7.878461e-06,25
7.898069e-06,26
7.917677e-06,27
7.937285e-06,28
7.956892e-06,28
7.976500e-06,28
7.996108e-06,28
8.015716e-06,28
8.035324e-06,28
8.054932e-06,28
8.074539e-06,28
8.094147e-06,28
8.113755e-06,28
8.133363e-06,28
8.152971e-06,28
8.172579e-06,28
8.192186e-06,28
8.211794e-06,28
8.231402e-06,28
8.251010e-06,28
8.270618e-06,28
8.290226e-06,28
8.309834e-06,28
8.329441e-06,27
8.349049e-06,25
8.368657e-06,24
8.388265e-06,23
8.407873e-06,22
8.427481e-06,21
8.447088e-06,20
8.466696e-06,18
8.486304e-06,17
8.505912e-06,16
8.525520e-06,14
8.545128e-06,13
8.564735e-06,12
